Lemma,Thematic_Category,Morphological_Regex_Root,Grammatical_Form,Primary_Author,Location_Reference,LSJ_Context_Snippet,Perseus_Greek_Hyperlink,Semantic_Definition,Keyword,Regex_Pattern,Structural_Domain
χρίω,christing_active,χρι[σξ],Pres. Impf. Act.,Homer,Odyssey 4.252,λόεον καὶ χρῖον ἐλαίωι,https://perseus.org,To touch the surface of a body lightly; to rub or anoint with scented olive oil or unguents after bathing.,,,
,,,,,,,,,purple_dye,\\bπορφυρ(?:α|ᾱ|ας|ᾳ|αν|ων|αις|ες|ο|οῦ|ᾶς|οῦν|οῖ)\\w*\\b,Chemical_Payloads_and_Discharges
,,,,,,,,,drakaina,\\bδρακαιν(?:α|ης|ῃ|αν|αι|ων|αις)\\b,Sovereign_Agents
,,,,,,,,,gypsum,\\bγυψ(?:ος|ου|ῳ|ον|ε|ων|οις|ους)\\b,Liturgical_Substances_and_Vessels
,,,,,,,,,theriake_vessel,\bθηριακ\w*\b,Chemical_Payloads_and_Discharges
,,,,,,,,,galene_stabilization,\bγαλην(?:η|ης|ῃ|αν|αι|ων|αις)\b,Cognitive_Overdrive_and_Sovereign_Agents
,,,,,,,,,dialysis_neutralization,\bδιαλυ(?:ω|εις|ει|ομεν|ετε|ουσι|ειν|ης|η|ον)\b,Chemical_Payloads_and_Discharges
,,,,,,,,,somatic_ingestion,\b(αἱμα|σαρκ|ἑψειν|πινειν)\w*\b,Chemical_Payloads_and_Discharges
,,,,,,,,,heresiological_synthesis,\b(μανιχαι|συντιθε|αθανασι|αμβροσι)\w*\b,Cognitive_Overdrive_and_Sovereign_Agents
,,,,,,,,,byzantine_translatio,\b(εχιδνολογ|σαρκ|ἑρπιστικ|σωτηρι)\w*\b,Sovereign_Agents
,,,,,,,,,generic_serpent,\bοφι(?:ς|ος|ῳ|ον|ε|ων|οις|ους)\b,Chemical_Payloads_and_Discharges
,,,,,,,,,dipsas_dehydration,\bδιψα\w*\b,Chemical_Payloads_and_Discharges
,,,,,,,,,synchrisma_ointment,\bσυγχρισμ\w*\b,Liturgical_Substances_and_Vessels
,,,,,,,,,draconic_agent,\bδρακοντ(?:ος|ῳ|α|ες|ων|οις|ους)\b,Sovereign_Agents
,,,,,,,,,potable_vehicle,\b(ποθεισ|πινω|οινω)\w*\b,Chemical_Payloads_and_Discharges
,,,,,,,,,corporate_tech_transfer,\b(χριομεν|σαρκων|σκευασια|αντιδοτ)\w*\b,Liturgical_Substances_and_Vessels
,,,,,,,,,gnostic_pushback,\b(ληστ|ληστρικ|μανιχ|ναγ[-_]χαμμ)\w*\b,Sovereign_Agents
,,,,,,,,,scythian_ballistics,\b(σκυθικ|οϊστου|οιστο)\w*\b,Chemical_Payloads_and_Discharges
,,,,,,,,,ballistic_chrisma,\b(χρισμα_βελ|χριουσιν|αβαριδ)\w*\b,Chemical_Payloads_and_Discharges
