Work_Title,ToposText_Ancient_Site,Latitude_Vector,Longitude_Vector,Overlapping_Themes,Greek_Keywords,Greek_Context_Snippet,Perseus_Web_URL,GitHub_Data_Link
Stephanus of Alexandria: In Aristotelis librum de interpretatione commentarium,Unknown Ancient Site,0.0,0.0,ios | lyssa,λύσσα (Noun / Ecstatic Fit) | ἰός (Noun / Dual Penetration),"... δὲ τὸ νῦν ζητούμενον παντελῶς οὐκ ἔστιν Ἀριστοτέλους, γυμνασίας δὲ ἕνεκεν γέγραπται. ὅθεν καὶ ὁ πορφύριος πολύστιχον γράψας ὑπόμνημα εἰς τὸ παρὸν σύγγραμμα τοῦτο τὸ κεφάλαιον οὐκ ἠξίωσεν φροντίδος τυχεῖν εἰς ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:1.1,https://github.com
Galen: De compositione medicamentorum secundum locos,Rome / Pergamum,41.9028,12.4964,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... φαίην ἂν πρὸς αὐτὸν οὐχ ὅπως ἐπὶ πολλὰς ἡμέρας, ἀλλ’ οὐδεμιᾷ μόνῃ δύναιτο ἂν ἀνασχέσθαι καθάριος ἄνθρωπος ἐπιχεομένου αὐτοῦ κατὰ τῆς κεφαλῆς οὔρου οὐδενὸς ζώου τοιούτου, καὶ ταῦτα ἐπὶ παθήματος οὕτω ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:9.1,https://github.comRome
Galen: De compositione medicamentorum secundum locos,Rome / Pergamum,41.9028,12.4964,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),... τε τῇ σκευασίᾳ καὶ τῇ δυνάμει. ἤ χοίρου πνεύμονα θερμὸν ἐπιτίθει. οὐκ ἄν τις ἀνάσχοιτο καθάριος ἀνὴρ τοιούτου βοηθήματος. ἢ μυρίκης ἀφεψήματι πρόσκλυζε. οὐ πρὸ πολλοῦ περὶ μυρίκης δυνάμεως εἴρηται. ἢ ...,https://perseus.org:tlg0006.tlg003.perseus-grc1:1.1,https://github.comRome
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... Bidez τὸ B la Suidas s. V. Θλέγων 1513, 18: Τούτου τοῦ Φλέγοντος, ὥς φησι Θιλοστόργιος, † ὂσον τὰ κατὰ τοὺς Ἰουδαίους συμπεσόντα διὰ πλείονος ἐπεξελθεῖν τοῦ πλάτους, Φλέγοντος καὶ Δίωνος ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:1.1,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),... οὖν ὁ Ἰώσηπος καὶ δεδοικότι ἔοκε καὶ εὐλαβουμένῳ ὡς μὴ προσκρούσειεν Ἒλλησι. 23/24 ὢς] φησι Θιλοστόργιος Ἰώσηπον (oder Ἰοῦστον) τὰ κατὰ usw. venuutet Val.: »certe scriptoris historici [qui Phlegonti et Dioni ...,https://perseus.org:tlg0006.tlg003.perseus-grc1:1.1,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... commeraorabatc. Val. Phot. 2. Ὂτι τά τε ἄλλα καὶ ὂσα πρὸς ἱστορίας ἥκει λόγον ὁ Θιλοστόργιος τὸν Παμφίλου Εύσέβιον ἐπαινῶν, περὶ τὴν εὐσέβειαν διαμαρτάνειν φησί. καὶ τὸ ἁμάρτημα ὁ δυσσεβὴς διηγούμενος, ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:1.2,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... καὶ τὸν πρὸς ἀλλήλους διαπληκτισμὸν καταπαῦσαι. 8a. Nicetas Thesaur. V 7 PG 139, 1368 BC: Φιλοστόργιος δέ φησιν ἐν τῷ πρώτῳ λόγῳ τῆς ἑαυτοῦ ἱστορίας ὅτι Ἀρεόφρονες ἦσαν ἐκ μὲν τῆς ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:1.8a,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... ob ἐξέπεμψεν? | 29 εἰσδέψεσθαι C 4b. Photii Bibliotheca Cod. 40, ob. S. 2, 24: Ἐξαίρει δὲ äml. ὁ Φιλοστόργιος) . . . ἐν τεραστίοις δὲ καὶ βίῳ . . . ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:3.4,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... χρηματίσας. ὃς αὐτῷ καὶ τοὺς προφήτας ἐξηγήσατο καὶ μάλιστα τὸν Ἰεζεκιήλ. Ἀλλὰ κἀκεῖθεν αὐτὸν ὁ φθόνος αὖθις, ὡς Φιλοστόργιος ληρεῖ, ὡς δ᾿ ἄν τις ἀληθεύων εἴποι, τῆς γλώσσης ἡ ἀκρασία καὶ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:3.15b,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... M π(αρὰ) B 12a. [zu Z. 15–17] Photii Bibliotheca Cod. 40 ob. S. 2, 28 ff: δὲ (näml. ὁ Φιλοστόργιος) Ἀκακίου μάλιστα τοῦ Καισαρείας κατἀ Παλαιστίνην ἐπισκοπήσαντος δεινότητά τε ἀνυπέρβλητον καὶ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:4.12a,https://github.com
